,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
8001,Dubai Electricity & Water Authority (DEWA),Power ,3.8,112," Job Security, Work Satisfaction, Skill Development / Learning  "," Promotions / Appraisal, Salary & Benefits", Dubai +5 other locations
8002,LNJ Bhilwara Group,Fashion & Textile ,3.7,112,  ," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Noida +22 other locations
8003,Forbes Facility Services,Facility Management Services ,4.2,114," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Mumbai +15 other locations
8004,Palsons Derma,Fitness & Wellness ,3.5,112,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Kolkata +19 other locations
8005,Saija Finance,NBFC ,4.1,112," Work Life Balance, Company Culture, Skill Development / Learning ",, New Delhi +22 other locations
8006,Aagna Global Solutions,BPO ,3.4,112,  ," Salary & Benefits, Promotions / Appraisal, Work Life Balance", Chennai +4 other locations
8007,Rabwin Industries,Industrial Machinery ,3.6,112,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Coimbatore +2 other locations
8008,Primetals Technologies,Industrial Machinery ,4.3,112," Job Security, Work Life Balance, Company Culture ",, Kolkata +8 other locations
8009,SDG Software,IT Services & Consulting ,4.0,112," Work Life Balance, Salary & Benefits  "," Job Security, Work Satisfaction, Skill Development / Learning", Noida +4 other locations
8010,Surya Food & Agro,Food Processing ,3.6,112,  ," Job Security, Company Culture, Work Satisfaction", Noida +25 other locations
8011,Gm Infinite Dwelling,Real Estate ,2.7,112,  ," Promotions / Appraisal, Company Culture, Job Security", Bangalore / Bengaluru +2 other locations
8012,Aravind Eye Hospital,Healthcare ,4.1,112," Company Culture, Job Security, Skill Development / Learning  ", Salary & Benefits, Madurai +18 other locations
8013,VaaaN Infra,Urban Transport ,3.6,112, Job Security  ," Promotions / Appraisal, Salary & Benefits, Company Culture", New Delhi +15 other locations
8014,Autocop India,Semiconductors ,3.6,112,  ," Promotions / Appraisal, Company Culture, Job Security", Pune +27 other locations
8015,Xcaliber Infotech,IT Services & Consulting ,3.4,112,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", Pune +3 other locations
8016,Ajmera Realty & Infra India,Real Estate ,3.9,112," Skill Development / Learning, Work Life Balance, Company Culture  ", Promotions / Appraisal, Mumbai +6 other locations
8017,Vehere,IT Services & Consulting ,4.3,112," Job Security, Company Culture, Work Life Balance ",, Kolkata +6 other locations
8018,Fairmont Hotels & Resorts,Hospitality ,3.9,112," Skill Development / Learning, Company Culture, Salary & Benefits ",, Jaipur +17 other locations
8019,Tekskills,IT Services & Consulting ,3.5,112,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Hyderabad / Secunderabad +12 other locations
8020,Mallcom,BPO ,3.8,112, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Kolkata +9 other locations
8021,Obeetee,Fashion & Textile ,3.8,112,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Panipat +11 other locations
8022,Nikon,Consumer Electronics & Appliances ,4.3,112," Company Culture, Work Life Balance, Job Security ",, Gurgaon / Gurugram +26 other locations
8023,HWASHIN Automotive,Auto Components ,4.0,112," Job Security, Work Satisfaction  ", Promotions / Appraisal, Chennai +3 other locations
8024,SPARX IT Solutions,IT Services & Consulting ,3.6,112,  ," Salary & Benefits, Promotions / Appraisal, Job Security", Noida +6 other locations
8025,Kiran Motors,Auto Components ,4.3,112," Skill Development / Learning, Work Life Balance, Work Satisfaction ",, Ahmedabad +11 other locations
8026,AIT Global,IT Services & Consulting ,3.4,113,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Pune +5 other locations
8027,Chargebee,Software Product ,3.9,113," Salary & Benefits, Company Culture, Work Life Balance  "," Job Security, Promotions / Appraisal, Skill Development / Learning", Chennai +2 other locations
8028,Sigma,Pharma ,3.6,112,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Pune +28 other locations
8029,KTM,Automobile ,4.0,112, Work Life Balance  , Promotions / Appraisal, Pune +57 other locations
8030,Virgo Group,New Delhi +33 other locations,3.9,112," Work Life Balance, Salary & Benefits  ", Promotions / Appraisal,
8031,Genus Innovation,Power ,3.8,112," Work Life Balance, Job Security  "," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Jaipur +18 other locations
8032,Kohinoor Group,Real Estate ,3.8,113, Job Security  ," Promotions / Appraisal, Work Life Balance", Pune +6 other locations
8033,Chinmaya Vidyalaya,Education & Training ,4.3,112," Company Culture, Skill Development / Learning, Salary & Benefits ",, New Delhi +31 other locations
8034,Central Bureau of Investigation,Defence & Aerospace ,3.8,113," Skill Development / Learning, Job Security  "," Company Culture, Work Life Balance, Promotions / Appraisal", New Delhi +17 other locations
8035,Mitel,Telecom ,3.5,112, Work Life Balance  ," Promotions / Appraisal, Skill Development / Learning, Job Security", Bangalore / Bengaluru +8 other locations
8036,Jolly Containers,Petrochemicals ,3.7,112,  ," Company Culture, Work Satisfaction, Promotions / Appraisal", Daman & Diu +14 other locations
8037,Mahindra Agri Solutions,Agriculture ,3.6,112,  ," Promotions / Appraisal, Work Life Balance, Work Satisfaction", Mumbai +30 other locations
8038,Prayagh Nutri Products,Food Processing ,4.1,112," Company Culture, Salary & Benefits, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +28 other locations
8039,Saatvik Green Energy,Power ,3.9,113, Salary & Benefits ,, Ambala +7 other locations
8040,Augustus Healthcare Solutions,Healthcare ,3.8,112,  , Skill Development / Learning, Pune +6 other locations
8041,Saatvik Green Energy,Power ,3.9,113, Salary & Benefits ,, Ambala +7 other locations
8042,HPI Limited,Internet ,4.1,112," Company Culture, Work Life Balance, Skill Development / Learning  ", Promotions / Appraisal, Bangalore / Bengaluru +12 other locations
8043,Molbio Diagnostics,Internet ,3.5,112,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Visakhapatnam +23 other locations
8044,MariApps Marine Solutions,IT Services & Consulting ,3.4,112,  ," Salary & Benefits, Promotions / Appraisal, Skill Development / Learning", Kochi +5 other locations
8045,Prayagh Nutri Products,Food Processing ,4.1,112," Company Culture, Salary & Benefits, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +28 other locations
8046,Lrs Services,IT Services & Consulting ,3.4,112,  ," Promotions / Appraisal, Job Security, Company Culture", Noida +21 other locations
8047,Desnor Destination,Travel & Tourism ,4.0,111," Company Culture, Work Life Balance, Work Satisfaction ",, Noida +2 other locations
8048,Appiness Interactive,IT Services & Consulting ,4.1,111," Company Culture, Job Security, Skill Development / Learning ",, Bangalore / Bengaluru +4 other locations
8049,The Hackett Group,Management Consulting ,3.6,111, Job Security  ," Promotions / Appraisal, Skill Development / Learning", Hyderabad / Secunderabad +6 other locations
8050,NimbusPost,Logistics ,3.4,124,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Gurgaon / Gurugram +6 other locations
8051,Dar Al Handasah Consultants Shair And Partners,Pune +8 other locations,3.0,120,  ," Work Life Balance, Company Culture, Work Satisfaction",
8052,Sportz Interactive,Gaming ,3.1,112,  ," Work Life Balance, Promotions / Appraisal, Salary & Benefits", Mumbai +4 other locations
8053,Quadlabs Technologies,Software Product ,3.3,111,  ," Work Life Balance, Promotions / Appraisal, Skill Development / Learning", Gurgaon / Gurugram +3 other locations
8054,NDS InfoServ,BPO ,3.6,112, Job Security  , Promotions / Appraisal, Mumbai +6 other locations
8055,Schiller Healthcare India,Medical Equipment ,3.6,113," Work Life Balance, Company Culture, Work Satisfaction ",, Mumbai +20 other locations
8056,First Data,Mumbai +11 other locations,4.2,111,  , Promotions / Appraisal,
8057,Digital Web Solutions,IT Services & Consulting ,3.7,111, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", New Delhi +6 other locations
8058,Ashida Electronics,Electronics Manufacturing ,3.8,111," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Mumbai +12 other locations
8059,Axtel Industries,Industrial Machinery ,4.0,111,,, Vadodara +1 other locations
8060,The Hackett Group,Management Consulting ,3.6,111, Job Security  ," Promotions / Appraisal, Skill Development / Learning", Hyderabad / Secunderabad +6 other locations
8061,Appiness Interactive,IT Services & Consulting ,4.1,111," Company Culture, Job Security, Skill Development / Learning ",, Bangalore / Bengaluru +4 other locations
8062,DigitalTrack Solutions,IT Services & Consulting ,4.1,112," Skill Development / Learning, Company Culture, Job Security ",, Chennai +10 other locations
8063,Sai Construction,Engineering & Construction ,3.3,111,  ," Company Culture, Job Security, Promotions / Appraisal", Bangalore / Bengaluru +26 other locations
8064,Vikram Tea,Financial Services ,4.2,111," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +34 other locations
8065,J. M. Mhatre Infra,Engineering & Construction ,3.9,111," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Navi Mumbai +16 other locations
8066,Siec Education,Recruitment ,3.1,112,  ," Promotions / Appraisal, Work Satisfaction, Job Security", New Delhi +11 other locations
8067,Keltron,Electronics Manufacturing ,4.0,111, Work Life Balance  ," Promotions / Appraisal, Salary & Benefits", Thiruvananthapuram +15 other locations
8068,Planet EDU,EdTech ,3.3,111,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Gurgaon / Gurugram +20 other locations
8069,Nkgsb CO-OP Bank,Banking ,4.2,111," Job Security, Work Life Balance, Company Culture  ", Promotions / Appraisal, Mumbai +20 other locations
8070,Harita Fehrer,Auto Components ,4.1,111," Company Culture, Skill Development / Learning, Work Satisfaction  ", Promotions / Appraisal, Hosur +5 other locations
8071,MoEngage,Emerging Technologies ,3.9,112," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Bangalore / Bengaluru +6 other locations
8072,Quadlabs Technologies,Software Product ,3.3,111,  ," Work Life Balance, Promotions / Appraisal, Skill Development / Learning", Gurgaon / Gurugram +3 other locations
8073,Sportz Interactive,Gaming ,3.1,112,  ," Work Life Balance, Promotions / Appraisal, Salary & Benefits", Mumbai +4 other locations
8074,NDS InfoServ,BPO ,3.6,112, Job Security  , Promotions / Appraisal, Mumbai +6 other locations
8075,Schiller Healthcare India,Medical Equipment ,3.6,113," Work Life Balance, Company Culture, Work Satisfaction ",, Mumbai +20 other locations
8076,First Data,Mumbai +11 other locations,4.2,111, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance",
8077,Ashida Electronics,Electronics Manufacturing ,3.8,111,  , Promotions / Appraisal, Mumbai +12 other locations
8078,Digital Web Solutions,IT Services & Consulting ,3.7,111," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, New Delhi +6 other locations
8079,Axtel Industries,Industrial Machinery ,4.0,111,,, Vadodara +1 other locations
8080,J. M. Mhatre Infra,Engineering & Construction ,3.9,111," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Navi Mumbai +16 other locations
8081,DigitalTrack Solutions,IT Services & Consulting ,4.1,112," Skill Development / Learning, Company Culture, Job Security ",, Chennai +10 other locations
8082,Sai Construction,Engineering & Construction ,3.3,111,  ," Company Culture, Job Security, Promotions / Appraisal", Bangalore / Bengaluru +26 other locations
8083,Harita Fehrer,Auto Components ,4.1,111," Company Culture, Skill Development / Learning, Work Satisfaction  ", Promotions / Appraisal, Hosur +5 other locations
8084,Vikram Tea,Financial Services ,4.2,111," Company Culture, Work Life Balance, Work Satisfaction ",, Mumbai +34 other locations
8085,Skillventory,Recruitment ,3.7,111," Work Life Balance, Job Security  ", Promotions / Appraisal, Indore +11 other locations
8086,Eshopbox Ecommerce,Internet ,3.3,113,  ," Work Life Balance, Promotions / Appraisal, Company Culture", Gurgaon / Gurugram +4 other locations
8087,Vasant Masala,Retail ,4.0,111," Work Life Balance, Company Culture, Salary & Benefits  ", Promotions / Appraisal, Ahmedabad +21 other locations
8088,Airworks,Hosur +11 other locations,3.7,111, Job Security  ," Promotions / Appraisal, Salary & Benefits, Company Culture",
8089,Besmak Components,Auto Components ,3.9,111," Job Security, Skill Development / Learning  "," Work Life Balance, Promotions / Appraisal, Salary & Benefits", Chennai +7 other locations
8090,Shore Infotech India,IT Services & Consulting ,2.8,111,  ," Promotions / Appraisal, Company Culture, Job Security", Hyderabad / Secunderabad +1 other locations
8091,Faze Three,Fashion & Textile ,3.7,111,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Silvassa / Dadra & Nagar Haveli +12 other locations
8092,BL Lifesciences,Medical Equipment ,3.0,111,  ," Promotions / Appraisal, Company Culture, Salary & Benefits", New Delhi +13 other locations
8093,Tecosim Engineering Services,Industrial Machinery ,3.0,111,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +2 other locations
8094,Uttam Strips,Iron & Steel ,3.6,111,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bhiwadi +8 other locations
8095,VOLTECH O AND M SERVICES,Oil & Gas ,4.1,111," Work Satisfaction, Skill Development / Learning, Company Culture ",, Chennai +30 other locations
8096,Krishna Buildestates,New Delhi +9 other locations,3.9,111," Work Satisfaction, Skill Development / Learning  ", Promotions / Appraisal,
8097,Wittur Elevator Components,Industrial Machinery ,3.7,111,  ," Promotions / Appraisal, Company Culture, Job Security", Chennai +3 other locations
8098,Iprogrammer Solutions,IT Services & Consulting ,4.0,111," Company Culture, Work Satisfaction, Skill Development / Learning ",, Pune +3 other locations
8099,Nxtgen Datacenter Cloud Technologies,IT Services & Consulting ,3.8,111," Skill Development / Learning, Work Life Balance ",, Bangalore / Bengaluru +6 other locations
8100,Orris Infrastructure,Real Estate ,4.1,111," Salary & Benefits, Work Life Balance, Work Satisfaction ",, Gurgaon / Gurugram +3 other locations
8101,Sfj Business Solutions,IT Services & Consulting ,2.9,111,  ," Job Security, Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +5 other locations
