,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
1087,Aviva Life Insurance India,Insurance ,3.6,800,  ," Job Security, Promotions / Appraisal, Company Culture", Gurgaon / Gurugram +115 other locations
1088,Thomas Cook,Travel & Tourism ,3.8,801,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance", Mumbai +79 other locations
1089,Punj Lloyd,Engineering & Construction ,4.2,800," Company Culture, Work Life Balance, Work Satisfaction ",, Gurgaon / Gurugram +71 other locations
1090,KEI Industries,Electrical Equipment ,4.2,802," Salary & Benefits, Job Security, Work Life Balance ",, New Delhi +89 other locations
1091,Neel Metal Products,Metals & Mining ,4.0,800," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Gurgaon / Gurugram +36 other locations
1092,Future Focus Infotech,IT Services & Consulting ,3.5,799,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Bangalore / Bengaluru +56 other locations
1093,Financial Software & Systems,Software Product ,3.8,798, Job Security  ," Promotions / Appraisal, Salary & Benefits", Chennai +31 other locations
1094,Marks & Spencer,Retail ,4.0,797," Job Security, Company Culture, Work Life Balance ",, New Delhi +59 other locations
1095,Vedanta Resources,Metals & Mining ,3.7,794, Salary & Benefits  ," Company Culture, Work Life Balance, Work Satisfaction", Jharsuguda +65 other locations
1096,HT Media,Media & Entertainment ,3.2,795,  ," Promotions / Appraisal, Work Satisfaction, Job Security", New Delhi +41 other locations
1097,GE Healthcare,Healthcare ,4.0,794," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +36 other locations
1098,Prism Johnson,Building Material ,3.8,883,  , Promotions / Appraisal, Mumbai +129 other locations
1099,Medhaj Techno Concept,Other ,3.9,793," Company Culture, Work Life Balance, Work Satisfaction  "," Promotions / Appraisal, Job Security", Lucknow +139 other locations
1100,Velocis Systems,IT Services & Consulting ,3.8,792," Work Life Balance, Job Security  ", Promotions / Appraisal, New Delhi +51 other locations
1101,Bayer,Bangalore / Bengaluru +106 other locations,4.0,792," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal,
1102,TNQ Tech Private Limited,Printing & Publishing ,3.5,790,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Chennai +13 other locations
1103,Rebel Foods,Internet ,3.7,813,  ," Promotions / Appraisal, Work Satisfaction, Work Life Balance", Mumbai +72 other locations
1104,ExcelR,Education & Training ,3.5,855,  ," Promotions / Appraisal, Job Security, Salary & Benefits", Bangalore / Bengaluru +22 other locations
1105,Hitachi Payment Services,FinTech ,3.8,792,  ," Promotions / Appraisal, Salary & Benefits", Mumbai +67 other locations
1106,ALTEN,IT Services & Consulting ,3.6,791,  ," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Bangalore / Bengaluru +22 other locations
1107,Nityo Infotech,IT Services & Consulting ,3.1,786,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Bangalore / Bengaluru +30 other locations
1108,Godfrey Phillips India,FMCG ,4.0,786," Job Security, Work Life Balance  ", Promotions / Appraisal, New Delhi +103 other locations
1109,Tata Cummins,Auto Components ,4.3,787," Company Culture, Work Life Balance, Skill Development / Learning ",, Jamshedpur +39 other locations
1110,MasterCard,FinTech ,3.9,784," Company Culture, Work Life Balance, Salary & Benefits  ", Promotions / Appraisal, Pune +15 other locations
1111,Arohan Financial Services,NBFC ,3.9,784," Salary & Benefits, Job Security ",, Kolkata +194 other locations
1112,Tata Capital Housing Finance,NBFC ,4.0,784," Job Security, Skill Development / Learning, Salary & Benefits ",, Mumbai +149 other locations
1113,Naukri,Internet ,4.0,785," Job Security, Company Culture, Work Life Balance ",, Noida +67 other locations
1114,Schlumberger,Oil & Gas ,3.9,786," Work Life Balance, Company Culture, Salary & Benefits  "," Promotions / Appraisal, Job Security", Pune +32 other locations
1115,Volvo,Automobile ,4.1,782," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +37 other locations
1116,Crompton Greaves Consumer Electricals,Consumer Electronics & Appliances ,3.8,783, Salary & Benefits  ," Promotions / Appraisal, Work Satisfaction", Mumbai +92 other locations
1117,J B Chemicals And Pharmaceuticals,Pharma ,3.8,782,  ," Promotions / Appraisal, Work Satisfaction", Mumbai +84 other locations
1118,Michelin,Auto Components ,3.9,781," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Pune +44 other locations
1119,Vaco Binary Semantics ,IT Services & Consulting ,3.3,781,  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Gurgaon / Gurugram +41 other locations
1120,Merino Industries,Building Material ,3.7,778,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", New Delhi +66 other locations
1121,JSW Group,Iron & Steel ,3.9,780," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +87 other locations
1122,Svatantra Microfin,NBFC ,4.1,778," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +263 other locations
1123,Salcomp Manufacturing,Electronics Manufacturing ,4.0,777," Job Security, Skill Development / Learning, Work Life Balance  ", Promotions / Appraisal, Chennai +22 other locations
1124,Yashoda Hospitals,Healthcare ,3.9,775, Skill Development / Learning  , Promotions / Appraisal, Hyderabad / Secunderabad +28 other locations
