,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
4190,Bajaj Healthcare, Vadodara +12 other locations,Pharma ,3.4,218,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
4191,AAJ Supply Chain Management, New Delhi +18 other locations,Logistics ,3.9,217," Highly Rated For Skill Development / Learning, Salary & Benefits ",
4192,The Institute Of Chartered Accountants, New Delhi +46 other locations,Education & Training ,3.7,217,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
4193,Wilo Mather and Platt Pumps, Pune +20 other locations,Industrial Machinery ,4.0,217," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
4194,Sophos Technologies, Ahmedabad +8 other locations,Software Product ,3.8,217," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
4195,Trackon Courier, New Delhi +55 other locations,Logistics ,3.6,218,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4196,Electropneumatics & Hydraulics (I), Pune +7 other locations,Industrial Machinery ,4.0,217," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits ",
4197,LIXIL, Gurgaon / Gurugram +38 other locations,Building Material ,4.0,217," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  ", Rated For Promotions / Appraisal
4198,British Airways, New Delhi +10 other locations,Aviation ,3.1,216,  ," Rated For Company Culture, Work Satisfaction, Promotions / Appraisal"
4199,Upwork, Bangalore / Bengaluru +31 other locations,Internet ,4.4,216," Highly Rated For Work Life Balance, Work Satisfaction, Skill Development / Learning ",
4200,PMT Machines, Pune +12 other locations,Industrial Machinery ,3.3,216,  ," Rated For Company Culture, Promotions / Appraisal, Work Life Balance"
4201,Strada,,Hyderabad / Secunderabad +24 other locations,3.5,217,  ," Rated For Promotions / Appraisal, Salary & Benefits"
4202,Chennai Petroleum Corporation, Chennai +9 other locations,Oil & Gas ,4.5,217," Highly Rated For Job Security, Work Satisfaction, Skill Development / Learning ",
4203,Automotive Axles , Mysuru / Mysore +9 other locations,Auto Components ,3.9,241, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
4204,OSB India, Bangalore / Bengaluru +4 other locations,Financial Services ,3.6,236," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
4205,Sumadhura Infracon, Bangalore / Bengaluru +7 other locations,Real Estate ,4.0,217,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4206,Bombay Rayon Fashions, Mumbai +18 other locations,Fashion & Textile ,3.6,216,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4207,Crown Solutions, Chennai +10 other locations,IT Services & Consulting ,3.6,217,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
4208,Smc Insurance Brokers, New Delhi +33 other locations,Insurance ,3.6,216," Highly Rated For Work Life Balance, Company Culture, Job Security ",
4209,S Chand Group, New Delhi +32 other locations,Printing & Publishing ,4.2,216,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4210,Flash Viven Machining Technologies, Pune +1 other locations,Auto Components ,3.7,216," Highly Rated For Skill Development / Learning, Company Culture, Salary & Benefits ",
4211,Edward Food Research and Analysis Centre, Kolkata +3 other locations,Analytics & KPO ,4.0,216,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4212,Varite, Bangalore / Bengaluru +11 other locations,IT Services & Consulting ,3.5,216,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
4213,Kinetic Engineering, Ahmednagar +16 other locations,Auto Components ,3.7,216, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
4214,Rajiv Gandhi Cancer Institute & Research Centre, New Delhi +4 other locations,Healthcare ,4.0,226,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4215,Danieli, Chennai +14 other locations,Industrial Machinery ,3.6,215," Highly Rated For Skill Development / Learning, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
4216,Emirates Airlines, Mumbai +16 other locations,Aviation ,3.9,215,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4217,Vasta Global,,Mumbai +7 other locations,3.7,227, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
4218,Scania, Bangalore / Bengaluru +20 other locations,Auto Components ,3.8,216,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4219,Excelra Knowledge Solutions, Hyderabad / Secunderabad +7 other locations,IT Services & Consulting ,3.6,215,,
4220,Royal Infraconstru, Kolkata +36 other locations,Engineering & Construction ,3.5,215,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4221,Bazar India, Gurgaon / Gurugram +54 other locations,Retail ,3.7,215,  ," Rated For Job Security, Promotions / Appraisal, Salary & Benefits"
4222,Aegis Logistics, Mumbai +27 other locations,Oil & Gas ,3.8,215," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4223,Quality Council of India, New Delhi +18 other locations,Government ,3.5,215,  ," Rated For Job Security, Promotions / Appraisal, Skill Development / Learning"
4224,Mfar Constructions, Bangalore / Bengaluru +12 other locations,Engineering & Construction ,3.8,215, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
4225,JGC Corporation, Chennai +14 other locations,Engineering & Construction ,4.4,215," Highly Rated For Company Culture, Work Life Balance, Job Security ",
4226,Casio India Company, New Delhi +26 other locations,Consumer Electronics & Appliances ,3.0,215,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
4227,Sanjeev Auto Parts Manufacturers, Aurangabad +3 other locations,Auto Components ,4.1,216," Highly Rated For Skill Development / Learning, Company Culture, Salary & Benefits ",
4228,Jspiders, Bangalore / Bengaluru +12 other locations,Education & Training ,3.7,215,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
4229,Link Group, Mumbai +7 other locations,Financial Services ,3.8,222," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Work Satisfaction"
4230,Integra Micro Systems, Bangalore / Bengaluru +36 other locations,Software Product ,3.8,214, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
4231,Hicare Services, Mumbai +24 other locations,Facility Management Services ,3.8,214,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
4232,Tatva Chintan Pharma Chem, Ankleshwar +6 other locations,Chemicals ,3.9,214,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
4233,TP Central Odisha Distribution, Bhubaneswar +24 other locations,Power ,3.4,234, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4234,RNFI Services, New Delhi +59 other locations,Financial Services ,3.5,240,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
4235,Vcare Call Center, Noida +11 other locations,BPO ,3.3,214,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
4236,Javi Systems , Gurgaon / Gurugram +34 other locations,IT Services & Consulting ,3.5,215,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4237,Amazon Distributors,,New Delhi +33 other locations,3.9,213, Highly Rated For Work Life Balance ,
4238,ExpertCallers, Bangalore / Bengaluru +8 other locations,BPO ,3.6,214,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
4239,Ketto, Mumbai +5 other locations,Internet ,3.9,214," Highly Rated For Company Culture, Work Life Balance ",
4240,Milk Mantra Dairy, Bhubaneswar +24 other locations,Food Processing ,3.6,214,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
4241,ExpertCallers, Bangalore / Bengaluru +8 other locations,BPO ,3.6,214,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
4242,Ketto, Mumbai +5 other locations,Internet ,3.9,214," Highly Rated For Company Culture, Work Life Balance ",
4243,Electrical Maintenance,,Chennai +64 other locations,4.2,217," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
4244,Gen, Pune +7 other locations,Software Product ,4.0,226," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  "," Rated For Job Security, Promotions / Appraisal"
4245,Velnik India , Indore +39 other locations,Beauty & Personal Care ,3.3,228,  ," Rated For Job Security, Company Culture, Promotions / Appraisal"
4246,Oswaal Books and Learning Private Limited, Agra +10 other locations,Printing & Publishing ,4.2,222," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
4247,SCM Garments, Tiruppur +11 other locations,Fashion & Textile ,3.9,214, Highly Rated For Job Security  , Rated For Promotions / Appraisal
4248,Motorola, Bangalore / Bengaluru +56 other locations,Consumer Electronics & Appliances ,4.3,213," Highly Rated For Work Life Balance, Company Culture, Job Security ",
4249,Indian Railway Catering and Tourism, New Delhi +44 other locations,Urban Transport ,3.9,213," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
4250,JSG Group, New Delhi +10 other locations,Auto Components ,3.7,213,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
4251,Hill International, Mumbai +23 other locations,Engineering & Construction ,4.2,214," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
4252,Ensure Support Services, Chennai +45 other locations,IT Services & Consulting ,4.2,213," Highly Rated For Work Satisfaction, Skill Development / Learning, Company Culture ",
4253,O P Jindal Global University, Sonipat +6 other locations,Education & Training ,3.9,213," Highly Rated For Job Security, Salary & Benefits  ", Rated For Promotions / Appraisal
4254,KGK Group, Mumbai +15 other locations,Jewellery ,3.7,213,  , Rated For Promotions / Appraisal
4255,EGIS, Bangalore / Bengaluru +53 other locations,Power ,4.1,213," Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  ", Rated For Promotions / Appraisal
4256,Caplin Point Laboratories, Chennai +8 other locations,Pharma ,3.7,213,  ," Rated For Company Culture, Job Security, Promotions / Appraisal"
4257,Utkarsh India,,Kolkata +15 other locations,3.3,214,  ," Rated For Company Culture, Work Life Balance, Promotions / Appraisal"
4258,Bright Life Care, Gurgaon / Gurugram +42 other locations,Fitness & Wellness ,4.0,213," Highly Rated For Work Life Balance, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
4259,Verifacts Services, Bangalore / Bengaluru +10 other locations,Recruitment ,3.6,213,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4260,Galpha Laboratories, Baddi +24 other locations,Pharma ,3.8,213,  ," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
4261,Saint Gobain Sekurit India, Chennai +17 other locations,Auto Components ,3.7,213,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4262,Chandigarh Group of Colleges, Chandigarh +16 other locations,Education & Training ,3.7,214,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4263,Madhucon Projects, Hyderabad / Secunderabad +32 other locations,Engineering & Construction ,3.4,213,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
4264,Manappuram Home Finance, Mumbai +74 other locations,Financial Services ,4.0,213," Highly Rated For Skill Development / Learning, Work Life Balance  ", Rated For Promotions / Appraisal
4265,Reecomps Teleservices, Mumbai +47 other locations,Telecom ,3.8,213,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
4266,MQSYS Technologies, Chennai +17 other locations,IT Services & Consulting ,3.6,213,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
4267,Prime Focus, Mumbai +11 other locations,Animation & VFX ,3.8,212,  ," Rated For Promotions / Appraisal, Salary & Benefits"
4268,Accel IT Services, Chennai +50 other locations,IT Services & Consulting ,3.6,231,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4269,Born Group, Chennai +11 other locations,Marketing & Advertising ,3.6,212,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
4270,Ncsi Technologies, Pune +5 other locations,IT Services & Consulting ,3.0,222,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
4271,Unicorn Infosolutions, New Delhi +17 other locations,Retail ,3.4,212,  ," Rated For Company Culture, Promotions / Appraisal, Work Life Balance"
4272,Jaypee Hotels, New Delhi +14 other locations,Hospitality ,4.1,212," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits"
4273,Galgotias University, Greater Noida +12 other locations,Education & Training ,3.2,212,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
4274,Rostfrei Steels, New Delhi +11 other locations,Industrial Machinery ,4.1,213," Highly Rated For Salary & Benefits, Company Culture, Work Life Balance ",
4275,Operational Energy Group India, Chennai +49 other locations,Power ,3.8,212,  , Rated For Promotions / Appraisal
4276,Ambey Mining, Durgapur +16 other locations,Metals & Mining ,3.3,213,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
4277,Dev Information Technology, Ahmedabad +31 other locations,IT Services & Consulting ,3.8,212, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
4278,Millennium Engineers & Contractors, Pune +8 other locations,Engineering & Construction ,4.1,213," Highly Rated For Skill Development / Learning, Salary & Benefits, Job Security ",
4279,Raj Petro Specialities, Chennai +23 other locations,Oil & Gas ,4.0,212," Highly Rated For Work Life Balance, Company Culture, Job Security  ", Rated For Promotions / Appraisal
4280,Puranik Builders, Mumbai +9 other locations,Real Estate ,3.9,212," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
